User_ID,User_Name,Gender,Age,Email,Phone,City,State,Device_Type,App_Version,UPI_App
U100000,Anay Shanker,Female,26,anayshanker59@gmail.com,8286125467,Pune,Maharashtra,KaiOS,v1.5,Paytm
U100001,Nirvaan Choudhury,Male,30,nirvaanchoudhury1323@gmail.com,8008249175,Visakhapatnam,Andhra Pradesh,Windows,v4.2,PhonePe
U100002,Sara Behl,Male,39,sarabehl938@gmail.com,8940849209,Kanpur,Uttar Pradesh,Windows,v2.9,Paytm
U100003,Kiara Kakar,Female,21,kiarakakar9558@gmail.com,9009041332,Patiala,Punjab,Android,v3.9,PhonePe
U100004,Aniruddh Batra,Female,36,aniruddhbatra4008@gmail.com,7690513997,Jammu,Jammu & Kashmir,iOS,v2.8,PhonePe
U100005,Mehul Krishnan,Male,38,mehulkrishnan31@gmail.com,7397986544,Mangaluru,Karnataka,Android,v1.7,PhonePe
U100006,Jhanvi Chaudhary,Male,18,jhanvichaudhary781@gmail.com,9852699795,Thiruvananthapuram,Kerala,Windows,v2.5,PhonePe
U100007,Madhup Kapur,Male,31,madhupkapur8769@gmail.com,8365504495,Dehradun,Uttarakhand,Android,v5.8,PhonePe
U100008,Zoya Virk,Female,20,zoyavirk11@gmail.com,6985597431,Nagpur,Maharashtra,KaiOS,v3.8,Google Pay
U100009,Tara Swaminathan,Male,22,taraswaminathan0996@gmail.com,9690986533,Durgapur,West Bengal,Android,v5.4,PhonePe
U100010,Rasha Kakar,Female,20,rashakakar87@gmail.com,8079529977,Dharamshala,Himachal Pradesh,KaiOS,v1.2,PhonePe
U100011,Ranbir Brahmbhatt,Male,59,ranbirbrahmbhatt969@gmail.com,6921182705,Guwahati,Assam,iOS,v1.5,Google Pay
U100012,Tarini Ganguly,Female,19,tariniganguly03@gmail.com,7970738588,Vadodara,Gujarat,KaiOS,v3.7,Google Pay
U100013,Divij Gupta,Male,18,divijgupta86@gmail.com,8168792074,Mysuru,Karnataka,iOS,v2.2,PhonePe
U100014,Taimur Vaidya,Male,44,taimurvaidya38@gmail.com,9236869434,Bhubaneswar,Odisha,iOS,v3.7,super.money
U100015,Lavanya Deo,Female,42,lavanyadeo11@gmail.com,6786148475,Bhilai,Chhattisgarh,Android,v2.7,Google Pay
U100016,Samiha Karpe,Male,31,samihakarpe09@gmail.com,8985385270,Bhilai,Chhattisgarh,,v3.5,Google Pay
U100017,Uthkarsh Baral,Male,34,uthkarshbaral5193@gmail.com,8614243827,Jodhpur,Rajasthan,Windows,v2.4,Google Pay
U100018,Mishti Ranganathan,Male,26,mishtiranganathan095@gmail.com,7374992176,Mangaluru,Karnataka,Android,v3.9,Navi
U100019,Kashvi Char,Male,39,kashvichar19@gmail.com,6724085267,Visakhapatnam,Andhra Pradesh,iOS,v1.2,Google Pay
U100020,Azad Sahota,Male,20,azadsahota52@gmail.com,7204281065,Ahmedabad,Gujarat,Windows,v1.6,PhonePe
U100021,Trisha Dhillon,Female,25,trishadhillon610@gmail.com,7067514864,Kolkata,West Bengal,KaiOS,v4.6,Paytm
U100022,Mehul Verma,Male,42,mehulverma4313@gmail.com,9565029439,Kota,Rajasthan,Windows,v4.0,Google Pay
U100023,Vaibhav Dewan,Male,28,vaibhavdewan55@gmail.com,6768334609,Varanasi,Uttar Pradesh,iOS,v5.0,PhonePe
U100024,Myra Tiwari,Female,27,myratiwari284@gmail.com,9548287709,Mumbai,Maharashtra,iOS,v5.5,Navi
U100025,Ishaan Goyal,Male,36,ishaangoyal16@gmail.com,7698438179,Dehradun,Uttarakhand,KaiOS,v1.9,Paytm
U100026,Lakshay Sampath,Female,33,lakshaysampath66@gmail.com,9662175820,Bhilai,Chhattisgarh,Android,v4.0,PhonePe
U100027,Rati Sanghvi,Female,34,ratisanghvi156@gmail.com,8760059162,Hyderabad,Telangana,Windows,v5.5,Google Pay
U100028,Mahika Ravi,Female,22,mahikaravi95@gmail.com,8616810729,Varanasi,Uttar Pradesh,Android,v5.7,PhonePe
U100029,Hazel Sethi,Male,43,hazelsethi76@gmail.com,9156643972,Jodhpur,Rajasthan,Windows,v3.9,Google Pay
U100030,Ishaan Kashyap,Female,24,ishaankashyap539@gmail.com,8793581258,Mumbai,Maharashtra,KaiOS,v3.1,PhonePe
U100031,Purab Reddy,Male,21,purabreddy23@gmail.com,8880419813,Madurai,Tamil Nadu,Android,v1.9,Google Pay
U100032,Piya Gaba,Female,34,piyagaba61@gmail.com,9000762585,Visakhapatnam,Andhra Pradesh,Windows,v1.8,PhonePe
U100033,Manikya Tara,Female,32,manikyatara8302@gmail.com,9227279848,Ranchi,Jharkhand,Windows,v1.8,PhonePe
U100034,Zara Dugar,Female,33,zaradugar753@gmail.com,8744641962,Pune,Maharashtra,iOS,v2.8,Google Pay
U100035,Priyansh Bali,Male,21,priyanshbali94@gmail.com,6128535986,Durgapur,West Bengal,iOS,v1.9,PhonePe
U100036,Jiya Vora,Male,30,jiyavora7417@gmail.com,8133517023,Vijayawada,Andhra Pradesh,Windows,v4.9,Google Pay
U100037,Rahul,Male,60,rahulU100037@gmail.com,6865404126,Vadodara,Gujarat,iOS,v2.1,Google Pay
U100038,Vivaan Wagle,Female,29,vivaanwagle551@gmail.com,7264564634,Ludhiana,Punjab,Windows,v4.4,Google Pay
U100039,Hridaan Deo,Female,37,hridaandeo0384@gmail.com,8333143754,Gurugram,Haryana,Windows,v4.7,Google Pay
U100040,Nishith Sharma,Female,63,nishithsharma48@gmail.com,8709848152,Vijayawada,Andhra Pradesh,iOS,v2.5,PhonePe
U100041,Siya Master,Male,44,siyamaster1811@gmail.com,6185954278,Kanpur,Uttar Pradesh,iOS,,Paytm
U100042,Keya Iyengar,Male,20,keyaiyengar15@gmail.com,7825693774,Jamshedpur,Jharkhand,iOS,v5.5,Google Pay
U100043,Madhup Biswas,Female,18,madhupbiswas498@gmail.com,7742975901,Dehradun,Uttarakhand,Android,v4.8,Google Pay
U100044,Divij Shroff,Male,34,divijshroff80@gmail.com,6993645062,Kochi,Kerala,KaiOS,v4.0,Google Pay
U100045,Faiyaz Bose,Male,36,faiyazbose2050@gmail.com,8198284698,Bhubaneswar,Odisha,Windows,v4.9,PhonePe
U100046,Vritika Sangha,Female,27,vritikasangha02@gmail.com,9334104745,Mangaluru,Karnataka,KaiOS,v3.0,BHIM
